INSERT INTO main_training (id, thread_code, institution, start_date, duration, employee_id_id, description) VALUES
(1, 'PT-001', 'Университет ИТ', '2023-01-10', 30, 1, 'Курс повышения квалификации по программированию'),
(2, 'PT-002', 'Школа бизнеса', '2023-02-15', 45, 2, 'Мастер-класс по управлению проектами'),
(3, 'PT-003', 'Технический колледж', '2023-03-20', 60, 3, 'Курс по механике и электронике'),
(4, 'PT-004', 'Высшая школа экономики', '2023-04-25', 30, 4, 'Интенсив по финансовому анализу'),
(5, 'PT-005', 'Институт гуманитарных наук', '2023-05-30', 45, 5, 'Лекции по социологии и психологии'),
(6, 'PT-006', 'Школа искусств', '2023-06-05', 60, 6, 'Курс рисования и композиции'),
(7, 'PT-007', 'Медицинский университет', '2023-07-10', 30, 7, 'Повышение квалификации медсестер'),
(8, 'PT-008', 'Юридическая академия', '2023-08-15', 45, 8, 'Курс юридической практики'),
(9, 'PT-009', 'Высшая школа маркетинга', '2023-09-20', 60, 9, 'Интенсив по цифровому маркетингу'),
(10, 'PT-010', 'Технический университет', '2023-10-25', 30, 10, 'Специализация по программной инженерии'),
(11, 'PT-011', 'Университет ИТ', '2023-01-10', 30, 12, 'Курс повышения квалификации по программированию'),
(12, 'PT-012', 'Школа бизнеса', '2023-02-15', 45, 13, 'Мастер-класс по управлению проектами'),
(13, 'PT-013', 'Технический колледж', '2023-03-20', 60, 14, 'Курс по механике и электронике'),
(14, 'PT-014', 'Высшая школа экономики', '2023-04-25', 30, 15, 'Интенсив по финансовому анализу'),
(15, 'PT-015', 'Институт гуманитарных наук', '2023-05-30', 45, 16, 'Лекции по социологии и психологии'),
(16, 'PT-016', 'Школа искусств', '2023-06-05', 60, 17, 'Курс рисования и композиции'),
(17, 'PT-017', 'Медицинский университет', '2023-07-10', 30, 18, 'Повышение квалификации медсестер'),
(18, 'PT-018', 'Юридическая академия', '2023-08-15', 45, 19, 'Курс юридической практики'),
(19, 'PT-019', 'Высшая школа маркетинга', '2023-09-20', 60, 20, 'Интенсив по цифровому маркетингу'),
(20, 'PT-020', 'Технический университет', '2023-10-25', 30, 21, 'Специализация по программной инженерии'),
(21, 'PT-021', 'Университет ИТ', '2023-11-10', 30, 22, 'Курс повышения квалификации по программированию'),
(22, 'PT-022', 'Школа бизнеса', '2023-12-15', 45, 23, 'Мастер-класс по управлению проектами'),
(23, 'PT-023', 'Технический колледж', '2024-01-20', 60, 24, 'Курс по механике и электронике'),
(24, 'PT-024', 'Высшая школа экономики', '2024-02-25', 30, 25, 'Интенсив по финансовому анализу'),
(25, 'PT-025', 'Институт гуманитарных наук', '2024-03-30', 45, 26, 'Лекции по социологии и психологии'),
(26, 'PT-026', 'Школа искусств', '2024-04-05', 60, 27, 'Курс рисования и композиции'),
(27, 'PT-027', 'Медицинский университет', '2024-05-10', 30, 28, 'Повышение квалификации медсестер'),
(28, 'PT-028', 'Юридическая академия', '2024-06-15', 45, 29, 'Курс юридической практики'),
(29, 'PT-029', 'Высшая школа маркетинга', '2024-07-20', 60, 30, 'Интенсив по цифровому маркетингу'),
(30, 'PT-030', 'Технический университет', '2024-08-25', 30, 31, 'Специализация по программной инженерии'),
(31, 'PT-031', 'Университет ИТ', '2024-09-10', 30, 32, 'Курс повышения квалификации по программированию'),
(32, 'PT-032', 'Школа бизнеса', '2024-10-15', 45, 33, 'Мастер-класс по управлению проектами'),
(33, 'PT-033', 'Технический колледж', '2024-11-20', 60, 34, 'Курс по механике и электронике'),
(34, 'PT-034', 'Высшая школа экономики', '2024-12-25', 30, 35, 'Интенсив по финансовому анализу'),
(35, 'PT-035', 'Институт гуманитарных наук', '2025-01-30', 45, 36, 'Лекции по социологии и психологии'),
(36, 'PT-036', 'Школа искусств', '2025-02-05', 60, 37, 'Курс рисования и композиции'),
(37, 'PT-037', 'Медицинский университет', '2025-03-10', 30, 38, 'Повышение квалификации медсестер'),
(38, 'PT-038', 'Юридическая академия', '2025-04-15', 45, 39, 'Курс юридической практики'),
(39, 'PT-039', 'Высшая школа маркетинга', '2025-05-20', 60, 40, 'Интенсив по цифровому маркетингу'),
(40, 'PT-040', 'Технический университет', '2025-06-25', 30, 41, 'Специализация по программной инженерии'),
(41, 'PT-041', 'Университет ИТ', '2025-07-10', 30, 42, 'Курс повышения квалификации по программированию'),
(42, 'PT-042', 'Школа бизнеса', '2025-08-15', 45, 43, 'Мастер-класс по управлению проектами'),
(43, 'PT-043', 'Технический колледж', '2025-09-20', 60, 44, 'Курс по механике и электронике'),
(44, 'PT-044', 'Высшая школа экономики', '2025-10-25', 30, 45, 'Интенсив по финансовому анализу'),
(45, 'PT-045', 'Институт гуманитарных наук', '2025-11-30', 45, 46, 'Лекции по социологии и психологии'),
(46, 'PT-046', 'Школа искусств', '2025-12-05', 60, 47, 'Курс рисования и композиции'),
(47, 'PT-047', 'Медицинский университет', '2026-01-10', 30, 48, 'Повышение квалификации медсестер'),
(48, 'PT-048', 'Юридическая академия', '2026-02-15', 45, 49, 'Курс юридической практики'),
(49, 'PT-049', 'Высшая школа маркетинга', '2026-03-20', 60, 50, 'Интенсив по цифровому маркетингу'),
(50, 'PT-050', 'Технический университет', '2026-04-25', 30, 51, 'Специализация по программной инженерии');
